94,Gardener Kingscote,Esch,307,332
95,Hedvig Gabbitis,Karstens,553,732
96,Cherida Konrad,Sugar,502,274
97,Connor Piola,Manitowish,625,945
98,Vivyanne Gianolo,Artisan,324,111
99,Bethany Barniss,Birchwood,241,438
100,Tiff Maciunas,Lukken,511,299
101,Eyde Gogie,Pennsylvania,80,618
102,Casandra Pridden,Darwin,581,573
103,Claire Potell,Fair Oaks,368,641
104,Lexine Schachter,Prairieview,104,796
105,Boyce Trask,Oneill,587,327
106,Anthia Abrahamsohn,Morningstar,471,961
107,Steffen Washbrook,Little Fleur,798,521
108,Gerladina Stanex,Shasta,149,485
109,Pennie Debney,Beilfuss,368,254
110,Tome Malcher,Milwaukee,276,37
111,Malinda Gilbane,Mallory,378,413
112,Janella Richardt,Norway Maple,199,924
113,Janean Seven,Burning Wood,289,503
114,Marillin Skone,Johnson,386,466
115,Douglas Dundridge,Towne,277,357
116,Nichols Iannuzzelli,Hoffman,486,382
117,Jemima MacAree,Milwaukee,74,55
118,Lucilia Ekkel,Leroy,32,220
119,Cherrita Darrington,Beilfuss,418,517
120,Guntar Lamball,Grasskamp,770,690
121,Merissa Sothcott,Fuller,67,399
122,Hubert Tadgell,Kropf,331,394
123,Anastassia Brothwell,Acker,21,795
124,Shirley O'Geaney,Vera,573,64
125,Carmina Punyer,Oneill,619,107
126,Emile Hawkslee,Rusk,923,392
127,Valry Chominski,Burrows,986,63
128,Claudio Scanlan,Mosinee,588,33
129,Gale O'Farrell,Lyons,791,594
130,Hector Brownett,Blackbird,876,24
131,Danell Lutsch,Service,108,810
132,Almira Edelheit,Badeau,625,438
133,Yehudit Dimitru,Corben,852,83
134,Chaunce Rilston,Loeprich,64,36
135,Jaquith Crayden,2nd,148,796
136,Sarita Labrenz,Center,363,561
137,Westbrook Birtle,Rieder,958,204
138,Bernie Seabrook,Surrey,668,83
139,Shaylyn Casolla,Sachtjen,819,415
140,Bryon Tingley,Atwood,553,999
141,Timmy Madrell,Independence,617,188
142,Wendi Redborn,Crest Line,749,222
143,Berni Capps,Lindbergh,799,705
144,Lezlie Rubbens,6th,372,424
145,Brady Bracknell,Kennedy,615,870
146,Mathian Chastan,Vidon,958,519
147,Tracey Stobo,Aberg,376,447
148,Felipe Leneve,Debra,244,793
149,Ginelle Edger,Elmside,166,121
150,Linnea Dwerryhouse,Forest Dale,181,351
151,Pietra Covell,Oak Valley,770,374
152,Salomon Crimin,Mendota,284,393
153,Pietro Hillock,2nd,738,371
154,Raff Breen,Steensland,907,937
155,Darnall Welford,Texas,206,650
156,Valry Alstead,Bonner,244,776
157,Albertina Tilberry,Cody,902,704
158,Basilius Achrameev,Erie,107,176
159,Raviv Boggish,Hintze,44,754
160,Shandra Ketteringham,Golf,853,409
161,Dru Pacey,Hollow Ridge,969,338
162,Ivy Hehnke,Sunfield,116,868
163,Andrey Filipponi,Crest Line,780,543
164,Serge Heinke,Manley,792,239
165,Adina Jermin,Eggendart,261,34
166,Timothee Wilse,Mariners Cove,867,303
167,Dodie Dmisek,Merchant,643,236
168,Edward St. Hill,Elmside,350,855
169,Katalin Ackhurst,Sommers,779,343
170,Darby Roche,Pine View,935,269
171,Belvia Hewell,Hoepker,804,776
172,Bondie Luckman,Basil,39,734
173,Kipp Cluney,Crowley,785,352
174,Christoph Blasdale,Butternut,943,845
175,Tobias Spancock,Welch,875,525
176,Katha Stoker,Thackeray,582,894
177,Carma Johncey,School,441,542
178,Lissie Marten,Steensland,641,461
179,Doralynne Varnals,Merchant,540,744
180,Elwyn Du Barry,Mandrake,183,993
181,Brenda Tumielli,Linden,132,414
182,Vevay Pioch,Iowa,909,954
183,Tirrell Oakshott,Carey,703,226
184,Sawyer MacAlaster,Marcy,617,15
185,Otes Kohter,Huxley,572,162
186,Antonie Cato,Coleman,664,59
187,Galvan Tindall,Becker,830,514
188,Hermann Blasing,Surrey,495,62
189,Clayborne Mableson,Vidon,396,696
190,Delcine Chasles,Forest Run,518,403
191,Orton Willock,Basil,592,90
192,Clarence Rembrant,Alpine,629,153
193,Carie Lalonde,Carpenter,787,150
194,Riordan Harnell,Bobwhite,317,287
195,Zacharie Iacovone,Clemons,156,901
196,Jasmin Osmund,Morrow,564,226
197,Collette Zwicker,Randy,191,640
198,Ferd Pawlicki,Banding,229,275
199,Hercule Dwane,Vahlen,631,976
200,Gibb Wardley,Morrow,217,302
201,Delia Valadez,Lillian,342,920
202,Darren Stace,Esch,375,730
203,Christian Brightey,Michigan,327,953
204,Danit Hoodless,Namekagon,708,366
205,Linn Benyan,Lake View,384,370
206,Tera Katzmann,Schiller,665,193
207,Addie Meric,Kings,849,695
208,Kiley Redford,Barnett,942,100
209,Marianne MacCaull,Elka,731,765
210,Maryl Gazey,Kropf,568,806
211,Stearn Lukins,Shelley,958,296
212,Cinda Hukin,Jackson,108,565
213,Odille Trusler,Harbort,994,335
214,Maritsa Ricards,Ruskin,900,150
215,Cammy Aizlewood,Dennis,314,178
216,Rabbi Gosdin,Sloan,643,132
217,Raynard Wordington,Pennsylvania,786,747
218,Jesse Critchlow,Dapin,680,589
219,Ermanno Whorall,Bonner,320,984
220,Betti Peschet,Sachtjen,368,449
221,Hazel Radeliffe,Carioca,406,860
222,Louisette Bovis,Saint Paul,589,601
223,Kettie Sarjant,Hagan,693,582
224,Teddy Sutherel,Hazelcrest,928,483
225,Zacharia Stein,Butterfield,33,297
226,Remus Pollastrino,Northridge,775,13
227,Wayne Quinet,Delladonna,891,563
228,Gilly Agneau,Esker,446,596
229,Sharlene Elvish,Dapin,91,749
230,Minnie Jeanneau,Darwin,6,287
231,Emeline Redfern,Butternut,452,409
232,Seumas Hendrichs,Atwood,929,476
233,Leda Niese,Northridge,942,400
234,Hedi MacSkeagan,Onsgard,539,505
235,Darsie Manhood,American,226,672
236,Blinnie Ogdahl,Maple Wood,642,526
237,Pernell Bolton,Fremont,919,506
238,Mikaela Habbema,Sommers,405,135
239,Salli Imesen,Nobel,714,401
240,Loydie Jacombs,Eggendart,805,661
241,Harman Kasting,Crest Line,166,570
242,Rad Anscott,Del Sol,761,919
243,Kippar Leguay,Lien,619,772
244,Dominic Kirvin,Texas,916,192
245,Byrom Boylund,Granby,738,166
246,Kissee Whitsun,Lake View,933,463
247,Abagail Milstead,Tennyson,350,682
248,Nils Malam,Manley,110,270
249,Miranda Dimsdale,Graedel,451,80
250,Kristien Ceschini,Butterfield,772,222
251,Symon Slane,Elgar,50,551
252,Christalle Woollaston,Carberry,354,82
253,Riobard Sieghard,Onsgard,103,149
254,Papageno Balden,Bultman,888,467
255,Carolus Oslar,Fremont,386,592
256,Chad De Ruggero,Pennsylvania,39,952
257,Magnum McTeer,Nevada,270,382
258,Averil Creasey,Westridge,923,442
259,Dell Jaimez,Fairview,846,43
260,Ariella Hartwright,Armistice,391,172
261,Dotty Cancellario,Nova,330,141
262,Homere Wealthall,Elka,413,938
263,Babbette Creane,Fuller,330,869
264,Fredek Pidgeon,Acker,825,480
265,Mortie Binney,Bluejay,896,554
266,Randie Blackaller,Ryan,642,62
267,Carrol Ghest,Westend,65,896
268,Silvan Bickley,Haas,728,729
269,Rollin Bulward,Reindahl,724,933
270,Carleton Kingswood,Annamark,142,173
271,Gerta McIlharga,Hoepker,447,714
272,Parry McCuis,Cardinal,867,934
273,Bobby Sclater,Del Mar,638,420
274,Denys McNirlan,Nobel,143,755
275,Raf Josskoviz,Bartelt,597,194
276,Coletta Ambrogetti,Center,556,642
277,Kimberley Witard,Sloan,135,944
278,Anders Ashmole,Corry,321,92
279,Bel Devo,Marquette,948,339
280,Cly McGonigal,Towne,117,765
281,Rafe Woodrooffe,Myrtle,770,272
282,Marleen Benbrick,Forest,653,882
283,Hakeem Matuschek,Donald,222,251
284,Sterling Snary,Clarendon,3,223
285,Denys Michal,Talisman,793,306
286,Orella Fiddy,Northland,975,46
287,Beverlie Dearness,Springs,56,868
288,Gaile Undy,Moose,403,473
289,Winifred Wilsone,Hazelcrest,280,565
290,Giuditta Rings,Darwin,969,80
291,Jerrilee Stonehouse,Pearson,74,47
292,Eudora Baldi,Superior,266,320
293,Callida Fessby,Northridge,605,997
294,Wendell Sparham,Burning Wood,421,958
295,Juliana Miguel,Merrick,489,165
296,Meridith Birts,Morningstar,511,89
297,Thacher Pethrick,Heffernan,761,544
298,Ronnica Giffaut,Graedel,915,934
299,Abbey Golding,Eastwood,276,194
300,Brena Cobley,Rieder,846,633
301,Mercie Daughtry,Welch,677,370
302,Virgie Gannan,Jackson,592,341
303,Adi Gildersleaves,Cambridge,885,574
304,Danyelle Brownsey,Hoffman,873,239
305,Geoffry Ashpital,Dennis,672,469
306,Mirilla Tribell,Walton,27,845
307,Dorey Ambrois,Nancy,75,377
308,Kally Willgress,Spaight,177,242
309,Beau Benzi,Hayes,329,159
310,Angelia Treamayne,Drewry,363,922
311,Olive Adderley,Maryland,153,119
312,Emmy Phipps,Acker,86,885
313,Marion Wightman,Drewry,19,19
314,Krisha Kidd,Milwaukee,569,269
315,Fredric Lantuffe,Grim,641,399
316,Claiborn Bottrell,Granby,945,911
317,Pascale Spittall,Bobwhite,917,128
318,Sanders Boots,Lukken,925,644
319,Gloriane Seven,Loomis,721,852
320,Jill Brodbin,Farwell,763,484
321,Fionna Ballinghall,Upham,333,349
322,Nonnah Beasley,Holmberg,608,747
323,Sebastien Metts,Mandrake,265,325
324,Sigismond Holworth,Londonderry,542,57
325,Ode Hail,International,691,924
326,Rosemonde Drever,Scofield,993,149
327,Bobbie Fonso,Armistice,838,474
328,Nils Ayres,Quincy,206,81
329,Anson Wyman,Surrey,404,531
330,Alys Skarman,Delladonna,728,391
331,Aileen Fynes,Continental,86,527
332,Aliza Schafer,Canary,313,296
333,Corny Tomson,Menomonie,425,83
334,Marabel Harbison,Blaine,507,275
335,Andromache Greasley,Melrose,394,348
336,Jasmina Gallemore,Talisman,905,832
337,Jo-ann Preator,Utah,570,24
338,Tine Sherratt,Dennis,317,656
339,Sibylle Vipan,Little Fleur,975,453
340,Rossy Crips,7th,444,536
341,Bertine Tyt,Eastwood,789,885
342,Tildie Ingrem,Farmco,860,169
343,Eamon Howlett,Ilene,827,161
344,Gabbi McLanachan,Michigan,547,422
345,Kylie Tebboth,Mcbride,100,575
346,Neddie Tryme,Trailsway,443,415
347,Danielle Redish,Nevada,71,96
348,Latashia Tassell,Service,974,431
349,Desiri O'Mara,Carioca,248,585
350,Jonis Franceschi,Delladonna,817,794
351,Electra Hasser,Huxley,151,481
352,Salim Garms,Old Gate,813,144
353,Florida Bovey,Toban,855,596
354,Cozmo Tricker,Rutledge,902,859
355,Pascal Sanja,Mifflin,923,433
356,Aeriela Keynes,Delladonna,291,660
357,Verine Leale,Debs,669,353
358,Jasen Curnokk,Rowland,519,463
359,Frederich Ryhorovich,Brickson Park,48,519
360,Cozmo Jodlowski,Clyde Gallagher,520,108
361,Joni Mearns,Blackbird,888,709
362,Francene Pavek,Coleman,797,195
363,Annabelle Mercey,Shoshone,786,747
364,Pooh Slowley,Golf Course,419,775
365,Doyle Teodori,Loftsgordon,710,602
366,Adolphus Etheridge,Green Ridge,757,182
367,Rufus Tudbald,Loftsgordon,983,729
368,Ric Paty,Carioca,629,402
369,Paolina Deas,Bay,744,342
370,Isadora McLernon,Mcbride,354,608
371,Jillian Danzelman,Troy,266,875
372,Nickolas Massei,Barby,315,394
373,Bail Musslewhite,Forest Run,290,719
374,Frans Fligg,Esker,437,632
375,Alyda Moynham,Parkside,760,288
376,Jerry Demangeot,Westport,125,970
377,Bondy D'Alessio,Division,893,426
378,Damaris Vials,Twin Pines,398,467
379,Lyndsay Bellam,Warrior,6,724
380,Vassili Musicka,Montana,577,373
381,Norton Kopps,Dennis,246,342
382,Ephrem Perrat,Nelson,721,182
383,Flem Tweedie,Holy Cross,605,721
384,Kelcie Lemmertz,Dakota,474,307
385,Patton Camelli,5th,453,752
386,Ketty Guiraud,Hansons,777,673
387,Stella Fike,Sage,466,996
388,Lukas Maestro,Paget,268,442
389,Brand Gittings,Canary,219,863
390,Coralie Creane,Tony,694,545
391,Talyah Blei,Carey,210,498
392,Meridel Pinck,Arkansas,828,598
393,Alphard Brislawn,Dahle,264,444
394,Maud De Andreis,Quincy,631,658
395,Milicent Wigley,Forest Run,305,981
396,Fidela Tolotti,Daystar,898,442
397,Marisa Leppard,Commercial,121,623
398,Doris Flanaghan,Bartillon,191,712
399,Cathi Golda,Farragut,426,658
400,Tammie Hiddersley,Sommers,368,86
401,Heidi Darcy,Fallview,325,150
402,Yvor Dummer,Kipling,970,428
403,Margalit Feldmesser,Spaight,709,953
404,Tadeas Bettenson,Gulseth,226,929
405,Fallon Sandell,Dexter,936,178
406,Charlena Darke,5th,27,420
407,Jamie Matuskiewicz,Loomis,781,307
408,Rolland Bellay,Namekagon,494,581
409,Marcia Stuckley,Corben,37,29
410,Salome Heister,Harbort,854,109
411,Gusella Eckery,Northfield,57,961
412,Kassie Fere,Browning,642,547
413,Cecil Squires,Forster,90,991
414,Quintina Ygoe,Prairie Rose,89,662
415,Baxter Saunder,Moland,832,764
416,Tracee Secker,Memorial,994,769
417,Roz Tesseyman,Texas,673,322
418,Eduardo Smogur,Grayhawk,535,712
419,Herschel Spragge,Vernon,861,594
420,Trevor Cessford,Heath,891,37
421,Deanna Rustich,Di Loreto,484,310
422,Cody Paxman,Twin Pines,222,236
423,Tulley Shillabeare,Vera,640,778
424,Guglielmo McParlin,Kennedy,475,744
425,Rube Gjerde,Amoth,450,320
426,Alphonso Dyment,Eggendart,194,963
427,Dynah Mussetti,Troy,740,588
428,Adolphe Le Bosse,Old Gate,887,185
429,Humfried Matteau,Karstens,985,948
430,Monroe Signorelli,Laurel,444,795
431,Sheffield Trase,Heath,364,246
432,Cori Shannahan,Glacier Hill,673,844
433,Michelina Barabich,Morningstar,704,609
434,Seka Rolfo,Vernon,853,484
435,Cinda Swett,Aberg,544,555
436,Penny McTeer,Linden,526,389
437,Othilie Hamshere,Del Mar,714,546
438,Colleen Gipp,Clyde Gallagher,713,796
439,Geri Foat,Miller,880,697
440,Austin Waby,Myrtle,543,440
441,Codi Hempel,Fremont,4,139
442,Shannon Schinetti,Sycamore,359,293
443,Abram Sampey,Ludington,201,572
444,Vyky Pickvance,Lakeland,687,840
445,Anthony Killby,Stone Corner,289,828
446,Richy Lishmund,Mendota,420,377
447,Dody Donn,Barnett,926,317
448,Cobby Arrell,Novick,105,440
449,Gray Gwyneth,Tony,528,786
450,Normand Milam,Huxley,537,257
451,Freda Caplen,Barnett,398,825
452,Seth Keward,Summer Ridge,404,506
453,Saraann Sterry,Delaware,3,544
454,Elnar Rosbotham,Pond,176,887
455,Yovonnda Canellas,Cody,931,935
456,Selby Alcido,Steensland,667,345
457,Reyna Kalkhoven,Service,905,795
458,Rainer Cisland,Meadow Vale,29,940
459,Idette Messier,Talisman,567,385
460,Yale Donaghie,South,71,358
461,Sigfried Bernadzki,Tony,699,210
462,Cale Penchen,School,828,633
463,Marissa Towey,Sullivan,677,653
464,Alma Cooney,Ramsey,250,567
465,Dorothy Hurdis,Sunbrook,695,406
466,Melinda Castane,Erie,473,647
467,Frankie Summerton,Washington,724,943
468,Kalila Pelzer,Autumn Leaf,529,615
469,Veriee Deards,Brown,825,782
470,Chevy Bessett,Green,983,841
471,Arnold Hargroves,Golf Course,401,383
472,Paulita Pretswell,Clove,324,261
473,Davy Dolohunty,Jana,597,745
474,Rafaela Hammill,Victoria,562,230
475,Aldwin Cocks,Reinke,354,684
476,Matthias Garrigan,Bluejay,939,760
477,Vivyanne Copeman,Texas,39,498
478,Miguel Andras,Norway Maple,166,783
479,Taffy Orpen,Eggendart,120,110
480,Francyne Oaker,Annamark,862,526
481,Jehanna Youhill,Drewry,554,493
482,Tiffy Fishe,Clyde Gallagher,938,230
483,Jeannie Celez,Weeping Birch,751,563
484,Charlot Pfleger,Ruskin,138,819
485,Lillian Pittford,Carpenter,326,342
486,Cristobal Bauldrey,Heffernan,813,411
487,Nolan Life,Mcguire,594,984
488,Janetta Harrinson,Manitowish,145,187
489,Emilie Westhofer,Kings,854,526
490,Shawnee Bynert,Old Shore,287,962
491,Lonni Labro,Service,848,609
492,Livia Rundall,Twin Pines,855,244
493,Janaye Cowins,Tennyson,262,240
494,Curcio MacAlpin,Warner,636,173
495,Rolland Attiwill,Bashford,81,385
496,Tamar Ifill,Little Fleur,843,101
497,Marrissa Slevin,Warner,351,233
498,Buiron Luckin,Leroy,685,328
499,Farleigh Sherr,Knutson,697,596
500,Mersey Ferrier,Crest Line,702,243
501,Demetris Murgatroyd,Scofield,851,811
502,Ailene Jeandet,Kingsford,745,996
503,Una Bauser,Maple Wood,103,246
504,Genna Sansam,Pepper Wood,957,192
505,Jehu Ganniclifft,Bayside,620,82
506,Lara Paraman,Rutledge,787,162
507,Clem Tungate,Hansons,525,408
508,Boniface Barrowclough,Lotheville,488,995
509,Eileen Mucillo,Prairie Rose,615,664
510,Randell Jakel,Hollow Ridge,474,6
511,Gil Satterley,Jenna,181,972
512,Junette Orange,Bobwhite,979,299
513,Elvyn Vian,Stone Corner,338,397
514,Brittaney Mudd,Gateway,520,782
515,Bird De Pero,Bellgrove,685,186
516,Boothe Chasmor,Springview,662,877
517,Virgil Jonk,Mallory,155,423
518,Martie Monroe,Bellgrove,667,391
519,Hamid Puttan,Pearson,444,821
520,Charmain Hambelton,Independence,320,441
521,Frannie Connerly,Hagan,827,52
522,Bendick Arundale,Orin,859,488
523,Normy Nozzolinii,Gulseth,248,811
524,Alasdair Bamlett,David,471,873
525,Charmion Yurshev,Clarendon,751,23
526,Natalya Cozens,Stang,372,147
527,Agustin Stirland,Chive,624,574
528,Torie Westhead,Elmside,365,566
529,Von Josupeit,Rusk,723,669
530,Hallsy Reville,Gerald,232,551
531,Sandi Garry,Basil,121,625
532,Rivi Dumblton,Jenifer,375,938
533,Moritz Odda,Eastwood,208,216
534,Lionello Whiteland,Stone Corner,582,857
535,Bengt Casier,Hoard,202,204
536,Rochester Delves,Coleman,971,160
537,Ennis Bonnyson,Bowman,758,920
538,Gillie Rowlinson,Derek,489,968
539,Joli de Marco,Debs,24,270
540,Griff Knowlys,Merrick,344,164
541,Carie Wolsey,Sullivan,544,278
542,Kendal Mapham,Weeping Birch,619,813
543,Blithe Delatour,Lotheville,631,572
544,Hadlee Willatts,Bartelt,567,248
545,Goldy Daymont,Tennessee,237,864
546,Patsy Enbury,Glacier Hill,324,528
547,Karlik Vater,American,698,428
548,Breena Szapiro,Loftsgordon,504,900
549,Lorrayne Gilbart,Mayfield,807,283
550,Veronike Cocks,Amoth,645,266
551,Gene Lovick,Coleman,941,209
552,Edward Dufer,Thierer,240,78
553,Cecilia Prichet,Carioca,480,482
554,Jesus Cornuau,South,604,184
555,Henrieta Corteis,Erie,834,499
556,Ban Simanek,Dunning,569,516
557,Luise Tomaszek,Calypso,536,642
558,Upton O'Hannigan,Caliangt,589,645
559,Kally Grave,Milwaukee,981,448
560,Briggs Avramow,Rieder,447,351
561,Zahara McIver,Jackson,630,66
562,Rani Crookshank,Dunning,539,107
563,Rey Robbel,Springs,496,712
564,Nikki Gitsham,Utah,543,919
565,Julian Le feaver,Prairie Rose,106,866
566,Dannie Borsi,Village Green,131,170
567,Talyah Ventam,Fairview,222,59
568,Molly Akker,Corscot,69,674
569,Eleanore Shepherdson,Larry,644,279
570,Selia Ragate,Pankratz,95,490
571,Drona Geater,Hermina,960,135
572,Siusan Blankman,Blackbird,176,523
573,Tomlin Winterbourne,Acker,79,962
574,Duane Rignoldes,Sugar,366,159
575,Isadore Vedekhov,Packers,34,257
576,Hedvige Dunphy,Westport,683,926
577,Cameron Cheese,Blaine,613,547
578,Rikki Collinge,Kingsford,458,537
579,Annabela Colam,Scott,792,238
580,Ollie Antonioni,Quincy,761,682
581,Temp Pourveer,Logan,197,892
582,Ivory Pochon,Aberg,710,497
583,Fulton Stapford,Riverside,48,488
584,Tomasina Bartzen,Lunder,431,874
585,Percival Blow,Oak,277,956
586,Balduin Diggar,Killdeer,957,920
587,Cristine Sapshed,2nd,951,694
588,Kennan Bloxsome,Myrtle,731,907
589,Jammie Shilladay,Packers,904,860
590,Genvieve Tinson,Veith,286,102
591,Mandy Summerell,Garrison,222,663
592,Anett Skingley,Anderson,329,360
593,Arny Blown,Graceland,709,285
594,Toddie Giacobilio,Elka,266,495
595,Lucine Overel,Coolidge,355,952
596,Pauli Augie,Golf,754,154
597,Corie Welberry,Bellgrove,522,883
598,Garvin Brownlow,Valley Edge,420,445
599,Derick Howieson,Maple,701,844
600,Alberta Scripture,Kingsford,745,475
601,Annaliese Berzon,Surrey,125,826
602,Waylin Bottoms,Orin,743,491
603,Modesta Brookton,Dwight,127,652
604,Kari Skitch,Kingsford,756,702
605,Anatola Heyward,Oneill,796,982
606,Eddi Stealfox,Roth,772,923
607,Marie-jeanne Gready,Russell,664,406
608,Erhart Elsley,Del Mar,119,304
609,Sherwood Greatorex,Waywood,135,376
610,Vonni Raff,Messerschmidt,560,864
611,Bili Renshall,Basil,56,197
612,Gabriello Paz,Summit,650,477
613,Leslie Perschke,Lotheville,724,838
614,Ann Copland,Cordelia,573,274
615,Arliene Vian,6th,211,383
616,Rafaelia Shelmardine,Jenifer,842,86
617,Thurstan Denyukin,Utah,921,650
618,Eleni Diano,Summerview,894,468
619,Matti Tenney,Loeprich,364,52
620,Bobina Easterfield,Susan,598,457
621,Amy Britcher,Oak Valley,337,523
622,Milo Esposita,Dawn,550,302
623,Walden Huot,Bonner,449,678
624,Donall Corpes,Donald,753,826
625,Bonita Notman,Transport,771,328
626,Catarina Mintoff,Carberry,770,466
627,Alisa Tyrer,Little Fleur,497,464
628,Marshal Gayter,Sundown,71,790
629,Esmaria Ulster,Algoma,82,551
630,Dene Harpham,Kedzie,583,419
631,Caryn Mickleborough,Bartillon,320,426
632,Sissy Rudeforth,Hovde,136,585
633,Giralda Zorzoni,Comanche,638,590
634,Irita Debenham,Lakeland,852,588
635,Aarika Stedman,Barby,228,246
636,Felicity Huntall,Oneill,581,447
637,Fleur Ferrai,Hollow Ridge,466,653
638,Berta Kidner,Marcy,289,382
639,Rod Pilsbury,Forest Dale,623,447
640,Lelia Kapelhof,Forster,740,687
641,Claudia Seacombe,Lawn,212,534
642,Phineas Bayless,Elgar,815,438
643,Rolland Nardi,Lerdahl,640,805
644,Yulma Weathey,Gale,958,561
645,Barnaby Cluderay,Dahle,729,510
646,Susanna Quarry,Crescent Oaks,513,118
647,Tom Child,Crowley,527,582
648,Ulric Shirer,Macpherson,112,917
649,Lem Millmore,Northridge,167,726
650,Leland Aingel,Carioca,442,77
651,Jehu Burel,Hermina,356,368
652,Bondon Cullum,Ridgeway,579,880
653,Shauna Cuming,Lake View,316,162
654,Karmen Delahunty,Butternut,242,97
655,Lillis Gibson,Gina,844,619
656,Gaye Bercevelo,Kedzie,772,330
657,Estrella Gummie,Wayridge,391,299
658,Sibilla MacParland,Tennyson,674,887
659,Iolande Rayworth,Packers,871,578
660,Eugenio Rogliero,Roxbury,695,845
661,Robinett Ketteringham,Bashford,320,162
662,Sharla Gieraths,Reinke,758,592
663,Gunilla Aharoni,Ilene,320,562
664,Glendon Dodshun,Lakeland,140,492
665,Dale Basham,Novick,936,316
666,Darlleen Hryniewicz,Elka,52,28
667,Rodolph Bowsher,Towne,807,697
668,Etti Berardt,Emmet,850,818
669,Skippie Bedbrough,Havey,549,882
670,Ferrell Biskupiak,Haas,879,845
671,Woodrow Burgan,Mockingbird,648,233
672,Lindie Waltering,Cherokee,324,210
673,Wilek Shiel,Kingsford,336,142
674,Walsh Coulthard,Dunning,366,995
675,Hally Pott,Cody,133,552
676,Juliet Quarles,Del Mar,424,835
677,Betta Harvett,Green Ridge,50,967
678,Murielle Mumm,Briar Crest,322,72
679,Elvis Crocker,Charing Cross,734,357
680,Joana Lampel,Granby,61,617
681,Rupert Falloon,Packers,626,199
682,Kirstyn Grigson,Macpherson,776,251
